,filename,review_text,Sentiment,SV,cluster_label
4,4,"  I honestly dont know wtf the main character needed to go into the room where the old man was, dye his hair red and not attempting to board the plane               At the beginning I was having expectations that it would be thrillingly good which it was but the ending just didnt do it for me chief                                                                                                                    ",1,82.45614035087719,3
37,37,"                                                                                                                                              Hype that will not stand up with time                                                                                           This series does not measure up to the standards of good, much less great, Korean Drama      The cast is excellent, of course (except for the VIPs, though the inside joke on American actors is rich), but the plot is predictable from the beginning through to the end   From the moment 001 (the old mans number is a heavy-handed hint) showed up, the repetition mixed in with violence and gore was evident, and the outcome was always predictable                                                                                                                                                                           However                                                                                 Blessings on Netflix for bringing international film to the world, especially during the pandemic                                                                                                                                     But dont try to own it, guys: just stream it                                                                                                                                                 ",1,73.94957983193278,3
43,43,"  The talk and reviews have me bewildered, Im only up to Ep3 but am struggling after about 5 attempts to start bingeing                                                      I find it boring and really childish, with pretty ordinary acting                                            The set design, art direction and general production values are very 1970s                                                                                    Two more attempts then Ill give up                                                                                       ",0,66.66666666666666,3
52,52,"                                  Really fun concept of a show that takes time to develop the characters and make you care and understand them before the games begin   Started very strong up until episode 6, then went downhill with all the VIP stuff and plot twists and turns that undermined characters and story stuff earlier on                                                                                                                              Has great production values and acting                    Episode 6 was the best one by a mile, but the last three episodes were pretty weak overall and makes me a bit worried how Season 2 will turn out                                                                                                                                                   8/10 for Season 1                                                                                                                                    ",1,63.63636363636363,3
54,54,"                                                                                                                                                                                                                      Theres a lot of hype surrounding this series                                                                                                                                                                    I thought it was okay, I almost didnt finish walking it after stopping halfway into episode 1                                                                                                                                                         The problem is that it gets into overly melodramatic family issues, and the protagonist is very unlikable                                                                                                                             After fast forwarding to the subway station scene where he meets the guy who eventually gets him into the game, I stuck with the show                                                                                                                                                                                                                               So the show is visually interesting                                                                                                                                                                                                     I guess people get intrigued when they see photos of the sets            Unfortunately not all of the games are created equally, and not all of them are based on kids games as we were led to believe (what kid game involves crossing a glass bridge? What kind of kid game involves cutting out a shape out of a cookie?!)                                                                                                                                                                                                                      There were quite a few irritating characters                                                                                                                                                                                                                                  Very stereotypical gangster type                                                                                                   Youd think if the director was clever, hed have the gangster character redeem himself near the end of his appearance, but no, he goes down still being a jerk                                                                  And he is brought down by an equally irritating character, the woman who is introduced as being someone who wanted to leave, but then later turns out to be just as ruthless as the gangster guy                                                                                                                                  The pakistani guy seems like someone who you can root for, but over time, he does get a bit irritating in his excessive naivety                                                                                                                                                                                       The old man is also irritating, and honestly, the twist at the end is dumb                                                                                                                                                                                                                                  But Ill get back to that later                                                                                                                                                                                            Over the course of the show, you only learn little bits of this place                                                                                                                                                                                            There are a few foreshadowings that give away twists a bit too easily                                                                                                                                                                                             You also learn this game has apparently been happening for decades   Strange, nobody seems to notice hundreds of people disappearing at the same time of year? And in all that time, none of the winners ever talked to anyone else about surviving the game?The series has pretty good energy until the last two or three episodes                                                                                                                                                                                                                           Then it just loses steam and gets dumb                                                                                                                                                                                               The introduction of the VIPs completely takes you out of the story                                                                                                                                                                                                  Its so badly handled, youd think youre watching another show                                                                                                                                                                                                         The final three scene is also inconsistent with the show                                                                                    Why are they given knives?! I thought the rules were they cant harm each other, because if two of the three were killed, there would be no final game for the VIPs to bet on                                                                                                                                                                                             The final game is way too predictable, in that, you know its coming                                                                                                                                                                                                                       And it doesnt even play out all that well                                                                                                                                                     After a series of 30 minute episodes, the show ends with a super dull, 50 minute final episode that meanders                                                                                                                                         You find out about the old man, but you never learn the reasons for the game, other than its a rich person who is bored                                                                                                                                                            Whats dumb is that the old man participated in these dangerous games, and could have died many times                                                                                                                                                                 And when we hear him getting shot, how did he NOT get shot? The workers wouldnt know who he was                                                                                                                                                      They never explain who the workers are and why they participate, and how they trust these people wont talk                                                                                                                                                                              I guess they stay on the island all year? Or they all go back to their regular jobs                                                                                                                                                                                                                            See, so many questions, so many holes                                                                                                                                                                                                                              The final ending is also pretty bad                                                                                                                                                                       Not sure if they are setting it up for a sequel, or they just wanted a clever, open ending                                                                                                                                                                                                                                 ",0,77.55102040816327,3
68,68,"                                                                     I heard so much hype for this so I was excited to watch    I did enjoy the first episodes a lot and was really positively surprised with diverse characters like Ali and Sae Byeok                       I wish we got more depth to her and surely she would have had very interesting background/flashbacks                                  I wish there had been more winners honestly, cos i thought multiple winners were possible                                               The whole VIP rich guys pay to watch people die seemed quite predictable too                                                 I never really found Gi-hun that relatable and wasnt much character growth                     I really think Sae Byeok shouldnt have died - but survived and won the game for her brother and family                                  It was nice touch Gi-hun did keep his promise and gave her brother better life, but still                                                      The end of him going back to the game is promising for S2, but cliche                                                                                           ",1,68.18181818181817,3
97,97,"                                                                                                                                           Among other things, the writer/director stresses several times how the players are equal and must be treated fairly             Then near the end, when the 3 finalists cross the glass bridge successfully, he has the bridge panels explode with great ferocity and causes the young woman to be seriously wounded (and later has her killer explain that it was a mercy killing                                                                                                                                                                                                                                that she was terminally wounded                                                                                                                                                                                    Thats hardly fair, dont you agree?The very old man who turns out to be Mr                                                                                                                                                                                                         Big was part of a tug of war game which was not rigged                                                                                                             That means if the winners (unbelievable by the way that they could win against a physically stronger team) lost he would have perished in the fall                                                                                                                                                                                                                                      Incongruous story mistake   Several semi-finalists, the young woman for instance and one finalist commit suicide, the former unbelievable since she has a mother and brother she wants to save, the latter unexpectedly since he was shown through the competition to do anything to win                                                                                                                                                                                      I also believe it makes no sense for the VIPs to only show up at the end                                                                                                                        Surely the millions of dollars they spend would mean they would want to see every bloody (and I do mean bloody) minute of all the games                                                                                                                                                                                                     I also found making all of the VIPs Americans prejudicial                                                                                                                                                                 You mean all the worlds class exploitation exists only in the 1 percenters who are American?                                                                                                                                                                                                                              ",0,75.75757575757575,3
127,127,"  The show was decent, worth watching but not as great as some are saying         Took me a few nights to finish and the ending was disappointing                                                  Get ready for season 2                                         ",0,72.72727272727273,3
143,143,"                                                                   I really wanted to enjoy this series after all the hype, but just found it lacking in any real substance                                                                      There is a very linear story line, people in a lot of debt get invited to play some very basic games                                                                                                                               Twist is, they get killed if they dont win                                                                                                                                                                 Thats it                                                                                There is some initial shock during the first game, but that wanes as the series progresses    There are a some semi-interesting, but predictable back stories, and most of the characters have few, if any redeeming features, so you dont really care who survives                                                         It is easy to be seduced by the initial shock of the first reveal, but it really doesnt progress much from there                                                                                                                                                             Id recommend                                                                                                                     Midnight Mass on Netflix if you want some real horror                                                                                                                                            ",0,66.66666666666666,3
152,152,"                                    Everything boils down to bad guys in South Korea                                                  Theyre not Korean, or even Asian                                                        Theyre European Caucasians                                                                           Get that   The only white people in this whole series are cast as the irredeemable bad guys                                                   Im sure its just a coincidence                                                     ",0,62.5,3
